Description,Cells,Marker,Imaging Source,Resource Location,Start Time,End Time,Comments
URADL_Outputs,ABplaaaaaaa,,test,wormguides/models/obj_files/Outputs_ABplaaaaaaa,1,1,
DVA_Outputs,ABprppppapp,,test,wormguides/models/obj_files/Outputs_ABprppppapp,1,1,
PLNR_Outputs,ABprappppppppap,,test,wormguides/models/obj_files/Outputs_ABprappppppppap,1,1,
RIML_Outputs,ABplppaapap,,test,wormguides/models/obj_files/Outputs_ABplppaapap,1,1,
ASGR_Outputs,ABpraapapap,,test,wormguides/models/obj_files/Outputs_ABpraapapap,1,1,
ASKR_Outputs,ABpraaaapppa,,test,wormguides/models/obj_files/Outputs_ABpraaaapppa,1,1,
ADEL_Outputs,ABplapaaaapa,,test,wormguides/models/obj_files/Outputs_ABplapaaaapa,1,1,
AIYL_Outputs,ABplpapaaap,,test,wormguides/models/obj_files/Outputs_ABplpapaaap,1,1,
AIBL_Outputs,ABplaapappa,,test,wormguides/models/obj_files/Outputs_ABplaapappa,1,1,
ALNL_Outputs,ABplapappppap,,test,wormguides/models/obj_files/Outputs_ABplapappppap,1,1,
SMBVR_Outputs,ABarappappp,,test,wormguides/models/obj_files/Outputs_ABarappappp,1,1,
RIR_Outputs,ABprpapppaa,,test,wormguides/models/obj_files/Outputs_ABprpapppaa,1,1,
URYVL_Outputs,ABplpaaappp,,test,wormguides/models/obj_files/Outputs_ABplpaaappp,1,1,
AVJR_Outputs,ABalapppppa,,test,wormguides/models/obj_files/Outputs_ABalapppppa,1,1,
ASHL_Outputs,ABplpaappaa,,test,wormguides/models/obj_files/Outputs_ABplpaappaa,1,1,
ALMR_Outputs,ABarpppappa,,test,wormguides/models/obj_files/Outputs_ABarpppappa,1,1,
RICL_Outputs,ABplppaaaapp,,test,wormguides/models/obj_files/Outputs_ABplppaaaapp,1,1,
RIS_Outputs,ABprpappapa,,test,wormguides/models/obj_files/Outputs_ABprpappapa,1,1,
URXR_Outputs,ABarpapaappp,,test,wormguides/models/obj_files/Outputs_ABarpapaappp,1,1,
AWCL_Outputs,ABplpaaaaap,,test,wormguides/models/obj_files/Outputs_ABplpaaaaap,1,1,
ASHR_Outputs,ABprpaappaa,,test,wormguides/models/obj_files/Outputs_ABprpaappaa,1,1,
RIBL_Outputs,ABplpaappap,,test,wormguides/models/obj_files/Outputs_ABplpaappap,1,1,
RMDR_Outputs,ABpraaaapad,,test,wormguides/models/obj_files/Outputs_ABpraaaapad,1,1,
AWBR_Outputs,ABpraaappap,,test,wormguides/models/obj_files/Outputs_ABpraaappap,1,1,
AWAR_Outputs,ABpraapapaa,,test,wormguides/models/obj_files/Outputs_ABpraapapaa,1,1,
AWCR_Outputs,ABprpaaaaap,,test,wormguides/models/obj_files/Outputs_ABprpaaaaap,1,1,
CEPDL_Outputs,ABplaaaaappa,,test,wormguides/models/obj_files/Outputs_ABplaaaaappa,1,1,
SIAVR_Outputs,ABprpapappa,,test,wormguides/models/obj_files/Outputs_ABprpapappa,1,1,
AVL_Outputs,ABprpappaap,,test,wormguides/models/obj_files/Outputs_ABprpappaap,1,1,
AWAL_Outputs,ABplaapapaa,,test,wormguides/models/obj_files/Outputs_ABplaapapaa,1,1,
FLPL_Outputs,ABplapaaapad,,test,wormguides/models/obj_files/Outputs_ABplapaaapad,1,1,
ADFR_Outputs,ABpraaappaa,,test,wormguides/models/obj_files/Outputs_ABpraaappaa,1,1,
AVM_Outputs,ABprapapaaapaa,,test,wormguides/models/obj_files/Outputs_ABprapapaaapaa,1,1,
VB2_Outputs,ABprapaapaaap,,test,wormguides/models/obj_files/Outputs_ABprapaapaaap,1,1,
RMEV_Outputs,ABplpappaaa,,test,wormguides/models/obj_files/Outputs_ABplpappaaa,1,1,
ADAL_Outputs,ABplapaaaapp,,test,wormguides/models/obj_files/Outputs_ABplapaaaapp,1,1,
AFDR_Outputs,ABpraaaapav,,test,wormguides/models/obj_files/Outputs_ABpraaaapav,1,1,
ADAR_Outputs,ABprapaaaapp,,test,wormguides/models/obj_files/Outputs_ABprapaaaapp,1,1,
AINR_Outputs,ABalaapaaar,,test,wormguides/models/obj_files/Outputs_ABalaapaaar,1,1,
SAADR_Outputs,ABarapppapa,,test,wormguides/models/obj_files/Outputs_ABarapppapa,1,1,
AVHL_Outputs,ABalapaaaaa,,test,wormguides/models/obj_files/Outputs_ABalapaaaaa,1,1,
RIH_Outputs,ABprpappaaa,,test,wormguides/models/obj_files/Outputs_ABprpappaaa,1,1,
RIGR_Outputs,ABprppappaa,,test,wormguides/models/obj_files/Outputs_ABprppappaa,1,1,
RMED_Outputs,ABalapppaap,,test,wormguides/models/obj_files/Outputs_ABalapppaap,1,1,
RIAL_Outputs,ABalapaapaa,,test,wormguides/models/obj_files/Outputs_ABalapaapaa,1,1,
VB2_Outputs,ABprapaapaaap,,test,wormguides/models/obj_files/Outputs_ABprapaapaaap,1,1,
AIAR_Outputs,ABprppaappa,,test,wormguides/models/obj_files/Outputs_ABprppaappa,1,1,
RIGL_Outputs,ABplppappaa,,test,wormguides/models/obj_files/Outputs_ABplppappaa,1,1,
AIZR_Outputs,ABprapaaapav,,test,wormguides/models/obj_files/Outputs_ABprapaaapav,1,1,
RIMR_Outputs,ABprppaapap,,test,wormguides/models/obj_files/Outputs_ABprppaapap,1,1,
CEPVR_Outputs,ABprpaappppa,,test,wormguides/models/obj_files/Outputs_ABprpaappppa,1,1,
OLQVL_Outputs,ABplpaaappaa,,test,wormguides/models/obj_files/Outputs_ABplpaaappaa,1,1,
Synapses,,,,,,,
Unparsed_Objects,,,,,,,
#1021_-_BWM-VR02',,,test,wormguides/models/obj_files/#1021_-_BWM-VR02_t1.obj',1,1,
#1341_-_PVNLR',,,test,wormguides/models/obj_files/#1341_-_PVNLR_t1.obj',1,1,
#21269_-_BWM-DR01',,,test,wormguides/models/obj_files/#21269_-_BWM-DR01_t1.obj',1,1,
#21477_-_shsoDR',,,test,wormguides/models/obj_files/#21477_-_shsoDR_t1.obj',1,1,
#21525_-_BWM-VL02',,,test,wormguides/models/obj_files/#21525_-_BWM-VL02_t1.obj',1,1,
#2229_-_BWM-VR03',,,test,wormguides/models/obj_files/#2229_-_BWM-VR03_t1.obj',1,1,
#2314_-_shsoDR',,,test,wormguides/models/obj_files/#2314_-_shsoDR_t1.obj',1,1,
#2337_-_shsoDL',,,test,wormguides/models/obj_files/#2337_-_shsoDL_t1.obj',1,1,
#2547_-_shsoDR',,,test,wormguides/models/obj_files/#2547_-_shsoDR_t1.obj',1,1,
#25925_-_BWM-VR01',,,test,wormguides/models/obj_files/#25925_-_BWM-VR01_t1.obj',1,1,
#26461_-_shsoDL',,,test,wormguides/models/obj_files/#26461_-_shsoDL_t1.obj',1,1,
#27446_-_shsoVR',,,test,wormguides/models/obj_files/#27446_-_shsoVR_t1.obj',1,1,
#27464_-_BWM-VR04',,,test,wormguides/models/obj_files/#27464_-_BWM-VR04_t1.obj',1,1,
